,Name,Type,Rating,Delivery Time,Price
113,Aroma's Hyderabad House,"Biryani, Mughlai, North Indian, Chinese",4.1,26 MINS,500 FOR TWO
114,Homely Meals @69,Home Food,4.1,25 MINS,150 FOR TWO
115,Mad Over Bowls (MOB),"Chinese, Asian, Beverages",4.2,32 MINS,200 FOR TWO
116,Burger King,"Burgers, American",4.0,34 MINS,350 FOR TWO
117,The Chinese Factory,"Chinese, Asian, Beverages, Desserts, Snacks, Rs.40 Off",4.3,37 MINS,200 FOR TWO
118,Shaolin,"Chinese, Thai",4.0,33 MINS,300 FOR TWO
119,DADAJI SWEETS,"Sweets, Snacks",--,22 MINS,200 FOR TWO
120,Pizza by ovenmaster,"Pizzas, Italian",3.9,21 MINS,200 FOR TWO
121,Khandeshi Darbar,Indian,--,38 MINS,300 FOR TWO
122,Asia Seven,"Chinese, Asian, Pan-Asian, Snacks",4.1,32 MINS,350 FOR TWO
123,Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts, Ice Cream, Ice Cream Cakes",--,17 MINS,200 FOR TWO
124,KOLHAPURI PAHUNCHAR,"Indian, Maharashtrian, North Indian, Thalis",3.8,32 MINS,200 FOR TWO
125,Pizza Hut,Pizzas,3.6,38 MINS,350 FOR TWO
126,Hotel Kunal,"North Indian, Chinese",3.9,29 MINS,500 FOR TWO
127,ROLL OVER BIRYANI,"Biryani, Beverages",3.7,30 MINS,300 FOR TWO
128,Swad Chinese Restaurant,Chinese,3.8,30 MINS,250 FOR TWO
129,Chick And Quick Snacks,Pizzas,4.0,35 MINS,200 FOR TWO
130,Moon Light Chinses Resto,Chinese,3.6,36 MINS,200 FOR TWO
131,Inn Town Chinese Restaurant,Chinese,--,31 MINS,250 FOR TWO
132,The Black Pearl Cafe,"Chinese, Burgers, Ice Cream, Pizzas",3.9,41 MINS,300 FOR TWO
133,Corner Restaurant,Chinese,3.1,34 MINS,200 FOR TWO
134,Domino's Pizza,Pizzas,4.2,30 MINS,400 FOR TWO
135,Hotel Aalims Biryani,Biryani,--,33 MINS,200 FOR TWO
136,Hotel Jagaat Bhaari Kolhapuri,"North Indian, Biryani",3.8,35 MINS,300 FOR TWO
137,Shahi Peshwai Bhel,Chaat,--,33 MINS,150 FOR TWO
138,Tuljaram Modi Pedhewale,"Sweets, Snacks",--,37 MINS,200 FOR TWO
139,SK Chinese,Chinese,--,35 MINS,100 FOR TWO
140,Ghadge's  Chinese,"Indian, Thalis",3.9,32 MINS,300 FOR TWO
141,Vedant Vadapav Center	,Snacks,--,31 MINS,100 FOR TWO
142,Radheya Catering,"North Indian, Biryani",--,37 MINS,200 FOR TWO
